1963;138;8 1/2;Drama;80;Yes
1968;139;2001: A Space Odyssey;Science Fiction;83;No
1982;92;48 Hrs.;Action;67;No
1966;95;A Big Hand for the Little Lady;Comedy;12;No
1992;60;A Certain Sacrifice;Music;24;No
1962;105;A Child Is Waiting;Drama;60;No
1985;118;A Chorus Line, The Movie;Music;71;No
1990;89;A Chorus of Disapproval;Comedy;0;No
1971;138;A Clockwork Orange;Science Fiction;83;Yes
1967;100;A Coeur Joie, (Head Over Heels);Action;54;No
1988;122;A Cry in the Dark;Drama;67;No
1992;96;A Day in October;Drama;76;No
1989;97;A Dry White Season;Drama;71;No
1966;104;A Fine Madness;Comedy;6;No
1988;108;A Fish Called Wanda;Comedy;7;Yes
1964;102;A Fistful of Dollars;Westerns;61;No
1954;96;A Lesson in Love;Comedy;48;No
1977;110;A Little Night Music;Music;61;No
1966;103;A Man & a Woman;Drama;46;Yes
1986;112;A Man & a Woman: Twenty Years Later;Drama;49;No
1966;120;A Man for All Seasons;Drama;20;Yes
1976;97;A Matter of Time;Drama;70;No
1988;92;A Month in the Country;Drama;57;No
1971;102;A New Leaf;Comedy;83;No
1988;104;A New Life;Comedy;53;No
1931;87;A Nous la Liberte;Drama;60;No
1965;106;A Patch of Blue;Drama;51;No
1982;150;A Question of Honor;Drama;80;No
1964;101;A Shot in the Dark;Comedy;51;No
1990;93;A Show of Force;Drama;1;No
1986;94;A Smoky Mountain Christmas;Music;23;No
1977;105;A Special Day;Drama;80;Yes
1946;110;A Stolen Life;Drama;20;No
1951;122;A Streetcar Named Desire;Drama;75;Yes
1973;103;A Touch of Class;Comedy;79;Yes
1962;134;A Very Private Affair;Drama;30;No
1990;131;A View to a Kill;Action;44;No
1969;98;A Walk in the Spring Rain;Drama;2;No
1982;195;A Woman Called Golda;Drama;15;Yes
1938;104;A Woman's Face;Drama;49;No
1984;106;A Year of the Quiet Sun;Drama;78;No
1986;113;About Last Night;Drama;66;No
1981;116;Absence of Malice;Drama;76;No
1988;121;Accidental Tourist, The;Comedy;56;Yes
1988;110;Accused, The;Drama;71;Yes
1990;101;Act of Piracy;Mystery;74;No
1970;100;Adam at 6 A.M.;Drama;3;No
1991;101;Adam's Rib;Comedy;62;No
1992;102;Addams Family, The;Comedy;8;No
1992;88;Adventures in Dinosaur City;Action;19;No
1935;234;Adventures of Rex & Rinty, The;Western;87;No
1975;91;Adventures of Sherlock Holmes' Smarter;Comedy;42;No
1943;265;Adventures of Smilin' Jack, The;Mystery;77;No
1952;98;Affair in Trinidad;Drama;49;No
1991;114;After Dark My Sweet;Mystery;33;No
1985;97;After Hours;Comedy;81;No
1989;89;After School;Drama;59;No
1966;103;After the Fox;Comedy;60;No
1983;72;After the Rehearsal;Drama;0;No
1990;92;After the Shock;Drama;28;No
1970;137;Airport;Drama;0;Yes
1960;164;Alamo, The;Action;29;No
1992;95;Alan & Naomi;Drama;3;No
1993;30;Alfred Hitchcock Presents, Sorcerer's Apprentice;Mystery;60;No
1990;106;Alice;Comedy;22;No
1975;112;Alice Doesn't Live Here Anymore;Comedy;82;Yes
1979;117;Alien;Science Fiction;83;No
1992;115;Alien Three;Science Fiction;59;No
1997;109;Alien: resurrection;Science Fiction;60;No
1986;137;Aliens;Science Fiction;82;No
1950;138;All about Eve;Drama;23;Yes
1990;87;All New Tales from the Crypt, A Trilogy;Horror;33;No
1976;139;All the President's Men;Drama;45;Yes
1983;91;All the Right Moves;Drama;65;No
1939;80;Allegheny Uprising;Drama;53;No
1987;95;Allnighter, The;Comedy;71;No
1990;98;Almost an Angel;Comedy;14;No
1982;92;Alone in the Dark;Horror;75;No
1986;132;Alrededor de Medianoche;Drama;47;No
1990;103;Altered States;Science Fiction;22;No
1984;158;Amadeus;Drama;6;Yes
1974;124;Amarcord;Drama;50;Yes
1990;88;Amazon;Action;30;No
1931;68;Ambassador Bill;Comedy;66;No
1991;60;America's Music, Blues;Music;54;No
1992;60;America's Music, Gospel;Music;13;No
1989;99;American Angels: Baptism of Blood, The;Drama;28;No
1986;100;American Anthem;Drama;74;No
1989;90;American Autobahn;Drama;75;No
1992;72;American Film Institute, Alfred Hitchcock;Mystery;70;No
1977;127;American Friend, The;Mystery;35;No
1973;112;American Graffiti;Comedy;39;Yes
1982;92;An Evening with Robin Williams;Comedy;68;No
1982;125;An Officer & a Gentleman;Drama;1;Yes
1956;106;Anastasia;Drama;24;Yes
1957;90;And God Created Woman;Drama;29;No
1971;88;And Now for Something Completely Different;Comedy;44;No
1971;98;Anderson Tapes, The;Mystery;1;No
1947;96;Angel & the Badman;Western;84;No
1977;91;Angela;Drama;80;No
1985;82;Angelic Conversation, The;Comedy;41;No
1930;92;Anna Christie;Drama;0;No
1935;96;Anna Karenina;Drama;35;Yes
1977;94;Annie Hall;Comedy;68;Yes
